SN,CN,AO,AC,UA,UN,UW,ISN,ISC,ISA,ISW
AC,Rio Branco,Universidade,Pública Federal,UFAC,UNIVERSIDADE FEDERAL DO ACRE,http://www.ufac.br,Assessoria de Cooperação Interinstitucional,Assessoria,ACI,https://www.ufac.br/site/ufac/cooperacao-interinstitucional
AL,Maceió,Universidade,Pública Federal,UFAL,UNIVERSIDADE FEDERAL DE ALAGOAS,http://www.ufal.br,Assessoria de Intercâmbio Internacional,Assessoria,ASI,http://www.ufal.edu.br/asi/pt-br/apresentacao
AL,Maceió,Universidade,Pública Estadual,UNCISAL,UNIVERSIDADE ESTADUAL DE CIÊNCIAS DA SAÚDE DE ALAGOAS,https://www.uncisal.edu.br,Assessoria de Relações Internacionais,Assessoria,ARINTER,https://novo.uncisal.edu.br/relacoesinternacionais/a-arinter
AL,Arapiraca,Universidade,Pública Estadual,UNEAL,UNIVERSIDADE ESTADUAL DE ALAGOAS,http://www.uneal.edu.br,Coordenação de Relações Internacionais,Coordenadoria,NF,NF
AM,Manaus,Universidade,Pública Estadual,UEA,UNIVERSIDADE DO ESTADO DO AMAZONAS,http://www2.uea.edu.br,Assessoria de Relações Internacionais,Assessoria,ARI,http://ari.uea.edu.br
AM,Manaus,Universidade,Pública Federal,UFAM,UNIVERSIDADE FEDERAL DO AMAZONAS,http://www.ufam.edu.br,Assessoria de Relações Internacionais e Interinstitucionais,Assessoria,ARII,https://arii.ufam.edu.br/
AP,Macapá,Universidade,Pública Federal,UNIFAP,UNIVERSIDADE FEDERAL DO AMAPÁ,http://www.unifap.br,Pró-Reitoria de Cooperação e Relações Interinstitucionais,Pró-Reitoria,PROCRI,https://www2.unifap.br/procri-english/meet-procri/
AP,Macapá,Universidade,Pública Estadual,UEAP,UNIVERSIDADE DO ESTADO DO AMAPÁ,http://www.ueap.edu.br,NF,NF,NF,NF
BA,Feira de Santana,Universidade,Pública Estadual,UEFS,UNIVERSIDADE ESTADUAL DE FEIRA DE SANTANA,https://www.uefs.br,Assessoria Especial de Relações Institucionais,Assessoria,AERI,http://aeri.uefs.br
BA,Salvador,Universidade,Pública Federal,UFBA,UNIVERSIDADE FEDERAL DA BAHIA,http://www.ufba.br,Assessoria para Assuntos Internacionais,Assessoria,AAI,https://aai.ufba.br/pt-br
BA,Salvador,Universidade,Pública Estadual,UNEB,UNIVERSIDADE DO ESTADO DA BAHIA,https://portal.uneb.br,Secretaria Especial de Relações Internacionais,Secretaria,SERINT,https://serint.uneb.br
BA,Vitória da Conquista,Universidade,Pública Estadual,UESB,UNIVERSIDADE ESTADUAL DO SUDOESTE DA BAHIA,http://www.uesb.br,Assessoria de Relações Internacionais,Assessoria,ARINT,NF
BA,Cruz das Almas,Universidade,Pública Federal,UFRB,UNIVERSIDADE FEDERAL DO RECÔNCAVO DA BAHIA,http://www.ufrb.edu.br,Superintendência de Assuntos Internacionais,Superintendência,SUPAI,https://www.ufrb.edu.br/supai/
BA,Itabuna,Universidade,Pública Federal,UFSB,UNIVERSIDADE FEDERAL DO SUL DA BAHIA,http://ufsb.edu.br,Assessoria de Relações Internacionais,Assessoria,ARI,https://ufsb.edu.br/ari/
BA,Ilhéus,Universidade,Pública Estadual,UESC,UNIVERSIDADE ESTADUAL DE SANTA CRUZ,http://www.uesc.br,Assessoria de Relações Internacionais,Assessoria,ARINT,NF
BA,Barreiras,Universidade,Pública Federal,UFOB,UNIVERSIDADE FEDERAL DO OESTE DA BAHIA,https://www.ufob.edu.br,Diretoria de Relações Internacionais,Diretoria,DRI,https://ufob.edu.br/a-ufob/internacionalizacao
CE,Fortaleza,Universidade,Pública Estadual,UECE,UNIVERSIDADE ESTADUAL DO CEARÁ,http://www.uece.br,Escritório de Cooperação Internacional,Escritório,ECINT,http://www.uece.br/ecint/
CE,Sobral,Universidade,Pública Estadual,UVA,UNIVERSIDADE ESTADUAL VALE DO ACARAÚ,http://www.uvanet.br,NF,NF,NF,NF
CE,Crato,Universidade,Pública Estadual,URCA,UNIVERSIDADE REGIONAL DO CARIRI,http://www.urca.br,Assessoria de Mobilidade e Internacionalização,Assessoria,AMI,http://www.urca.br/relacoesinternacionais/
CE,Juazeiro do Norte,Universidade,Pública Federal,UFCA,UNIVERSIDADE FEDERAL DO CARIRI,http://www.ufca.edu.br,Secretaria de Cooperação Internacional,Secretaria,SCI,https://www.ufca.edu.br/instituicao/administrativo/estrutura-organizacional/orgaos-complementares/sci/
CE,Fortaleza,Universidade,Pública Federal,UFC,UNIVERSIDADE FEDERAL DO CEARÁ,http://www.ufc.br,Pró-Reitoria de Relações Internacionais e Desenvolvimento Institucional,Pró-Reitoria,PROINTER,https://prointer.ufc.br/pt/seja-bem-vindo-a-prointer/
