nome_curso_grad,nome_curso_grad_emec,nome_curso_grad_EN,campus,modalidade,habilitacao,sigla_centro,nome_centro,url_curso_grad,THE_classificacao
ADMINISTRAÇÃO,ADMINISTRAÇÃO,ADMINISTRATION,Mamanguape,Presencial,Bacharelado,CCAE,CENTRO DE CIÊNCIAS APLICADAS E EDUCAÇÃO,https://sigaa.ufpb.br/sigaa/public/curso/portal.jsf?id=11449719&lc=pt_BR,Business and Economics
ADMINISTRAÇÃO,ADMINISTRAÇÃO,ADMINISTRATION,João Pessoa,Presencial,Bacharelado,CCSA,CENTRO DE CIÊNCIAS SOCIAIS E APLICADAS,https://sigaa.ufpb.br/sigaa/public/curso/portal.jsf?id=1626692&lc=pt_BR,Business and Economics
ADMINISTRAÇÃO,ADMINISTRAÇÃO,ADMINISTRATION,Bananeiras,Presencial,Bacharelado,CCHSA,CENTRO DE CIÊNCIAS HUMANAS SOCIAIS E AGRÁRIAS,https://sigaa.ufpb.br/sigaa/public/curso/portal.jsf?id=1626764&lc=pt_BR,Business and Economics
ADMINISTRAÇÃO PÚBLICA,ADMINISTRAÇÃO PÚBLICA,PUBLIC MANAGEMENT,João Pessoa,A Distância,Bacharelado,CT,CENTRO DE TECNOLOGIA,https://sigaa.ufpb.br/sigaa/public/curso/portal.jsf?id=1813969&lc=pt_BR,Business and Economics
AGROECOLOGIA,AGROECOLOGIA,AGROECOLOGY,Bananeiras,Presencial,Bacharelado,CCHSA,CENTRO DE CIÊNCIAS HUMANAS SOCIAIS E AGRÁRIAS,https://sigaa.ufpb.br/sigaa/public/curso/portal.jsf?id=1626662&lc=pt_BR,Life Sciences
AGROINDÚSTRIA,AGROINDÚSTRIA,AGROINDUSTRY,Bananeiras,Presencial,Bacharelado,CCHSA,CENTRO DE CIÊNCIAS HUMANAS SOCIAIS E AGRÁRIAS,https://sigaa.ufpb.br/sigaa/public/curso/portal.jsf?id=1626648&lc=pt_BR,Business and Economics
AGRONOMIA,AGRONOMIA,AGRONOMY,Areia,Presencial,Bacharelado,CCA,CENTRO DE CIÊNCIAS AGRÁRIAS,https://sigaa.ufpb.br/sigaa/public/curso/portal.jsf?id=1626755&lc=pt_BR,Life Sciences
ANTROPOLOGIA,ANTROPOLOGIA,ANTHROPOLOGY,Rio Tinto,Presencial,Bacharelado,CCAE,CENTRO DE CIÊNCIAS APLICADAS E EDUCAÇÃO,https://sigaa.ufpb.br/sigaa/public/curso/portal.jsf?id=1626862&lc=pt_BR,Social Sciences
ARQUITETURA E URBANISMO,ARQUITETURA E URBANISMO,ARCHITECTURE AND URBANISM,João Pessoa,Presencial,Bacharelado,CT,CENTRO DE TECNOLOGIA,https://sigaa.ufpb.br/sigaa/public/curso/portal.jsf?id=1626736&lc=pt_BR,Arts and Humanities
ARQUIVOLOGIA,ARQUIVOLOGIA,ARCHIVAL STUDIES,João Pessoa,Presencial,Bacharelado,CCSA,CENTRO DE CIÊNCIAS SOCIAIS E APLICADAS,https://sigaa.ufpb.br/sigaa/public/curso/portal.jsf?id=1626802&lc=pt_BR,Social Sciences
