sigla_centro,nome_centro,nome_departamento,url_departamento,url_corpoDocente,THE_classificacao
CBIOTEC,CENTRO DE BIOTECNOLOGIA,DEPARTAMENTO DE BIOLOGIA CELULAR E MOLECULAR,https://sigaa.ufpb.br/sigaa/public/departamento/portal.jsf?id=1863,https://sigaa.ufpb.br/sigaa/public/departamento/professores.jsf?id=1863,Life Sciences
CBIOTEC,CENTRO DE BIOTECNOLOGIA,DEPARTAMENTO DE BIOTECNOLOGIA,https://sigaa.ufpb.br/sigaa/public/departamento/portal.jsf?id=1862,https://sigaa.ufpb.br/sigaa/public/departamento/professores.jsf?id=1862,Life Sciences
CBIOTEC,CENTRO DE BIOTECNOLOGIA,DEPARTAMENTO DE CIENCIAS BASICAS,https://sigaa.ufpb.br/sigaa/public/departamento/portal.jsf?id=1864,https://sigaa.ufpb.br/sigaa/public/departamento/professores.jsf?id=1864,Life Sciences
CCA,CENTRO DE CIENCIAS AGRARIAS,DEPARTAMENTO DE BIOCIENCIAS,https://sigaa.ufpb.br/sigaa/public/departamento/portal.jsf?id=1624,https://sigaa.ufpb.br/sigaa/public/departamento/professores.jsf?id=1624,Life Sciences
CCA,CENTRO DE CIENCIAS AGRARIAS,DEPARTAMENTO DE CIENCIAS FUNDAMENTAIS E SOCIAIS,https://sigaa.ufpb.br/sigaa/public/departamento/portal.jsf?id=1471,https://sigaa.ufpb.br/sigaa/public/departamento/professores.jsf?id=1471,Social Sciences
CCA,CENTRO DE CIENCIAS AGRARIAS,DEPARTAMENTO DE CIENCIAS VETERINARIAS,https://sigaa.ufpb.br/sigaa/public/departamento/portal.jsf?id=1625,https://sigaa.ufpb.br/sigaa/public/departamento/professores.jsf?id=1625,Life Sciences
CCA,CENTRO DE CIENCIAS AGRARIAS,DEPARTAMENTO DE FITOTECNIA E CIENCIAS AMBIENTAIS,https://sigaa.ufpb.br/sigaa/public/departamento/portal.jsf?id=1469,https://sigaa.ufpb.br/sigaa/public/departamento/professores.jsf?id=1469,Life Sciences
CCA,CENTRO DE CIENCIAS AGRARIAS,DEPARTAMENTO DE QUIMICA E FISICA,https://sigaa.ufpb.br/sigaa/public/departamento/portal.jsf?id=3197,https://sigaa.ufpb.br/sigaa/public/departamento/professores.jsf?id=3197,Physical Sciences
CCA,CENTRO DE CIENCIAS AGRARIAS,DEPARTAMENTO DE SOLOS E ENGENHARIA RURAL,https://sigaa.ufpb.br/sigaa/public/departamento/portal.jsf?id=1468,https://sigaa.ufpb.br/sigaa/public/departamento/professores.jsf?id=1468,Life Sciences
CCA,CENTRO DE CIENCIAS AGRARIAS,DEPARTAMENTO DE ZOOTECNIA,https://sigaa.ufpb.br/sigaa/public/departamento/portal.jsf?id=1470,https://sigaa.ufpb.br/sigaa/public/departamento/professores.jsf?id=1470,Life Sciences
