nome_curso_posgrad;nome_curso_posgrad_en;sigla_curso_posgrad;campus;modalidade;habilitacao;sigla_centro;nome_centro;url_curso_posgrad;THE_classificacao
ADMINISTRAÇÃO;MANAGEMENT;PPGA;João Pessoa;Presencial;Mestrado e Doutorado;CCSA;CENTRO DE CIÊNCIAS SOCIAIS E APLICADAS;https://sigaa.ufpb.br/sigaa/public/programa/portal.jsf?lc=pt_BR&id=1898;Business and Economics
AGRONOMIA;AGRONOMY;PPGA;Areia;Presencial;Mestrado e Doutorado;CCA;CENTRO DE CIÊNCIAS AGRÁRIAS;https://sigaa.ufpb.br/sigaa/public/programa/portal.jsf?lc=pt_BR&id=1869;Life Sciences
ANTROPOLOGIA;ANTHROPOLOGY;PPGA;João Pessoa;Presencial;Mestrado e Doutorado;CCHLA;CENTRO DE CIÊNCIAS HUMANAS, LETRAS E ARTES;https://sigaa.ufpb.br/sigaa/public/programa/portal.jsf?id=1918;Social Sciences
ARQUITETURA E URBANISMO;ARCHITECTURE AND URBANISM;PPGAU;João Pessoa;Presencial;Mestrado e Doutorado;CT;CENTRO DE TECNOLOGIA;https://sigaa.ufpb.br/sigaa/public/programa/portal.jsf?lc=pt_BR&id=1872;Arts and Humanities
ARTES/REDE NACIONAL;ARTS;PROFARTES;João Pessoa;Presencial;Mestrado Profissional;CCTA;CENTRO DE COMUNICAÇÃO, TURISMO E ARTES;https://sigaa.ufpb.br/sigaa/public/programa/portal.jsf?lc=pt_BR&id=2862;Arts and Humanities
ARTES VISUAIS;VISUAL ARTS;PPGAV;João Pessoa;Presencial;Mestrado;CCTA;CENTRO DE COMUNICAÇÃO, TURISMO E ARTES;https://sigaa.ufpb.br/sigaa/public/programa/portal.jsf?id=1880;Arts and Humanities
BIODIVERSIDADE;BIODIVERSITY;PPGBIO;Areia;Presencial;Mestrado;CCA;CENTRO DE CIÊNCIAS AGRÁRIAS;http://sigaa.ufpb.br/sigaa/public/programa/portal.jsf?id=2833;Life Sciences
BIOLOGIA CELULAR E MOLECULAR;MOLECULAR AND CELLULAR BIOLOGY;PPBCM;João Pessoa;Presencial;Mestrado;CCEN;CENTRO DE CIÊNCIAS EXATAS E DA NATUREZA;https://sigaa.ufpb.br/sigaa/public/programa/portal.jsf?lc=pt_BR&id=1873;Life Sciences
BIOTECNOLOGIA/REDE;BIOTECHNOLOGY;RENORBIO;João Pessoa;Presencial;Doutorado;CBIOTEC;CENTRO DE BIOTECNOLOGIA;https://sigaa.ufpb.br/sigaa/public/programa/portal.jsf?lc=pt_BR&id=1924;Life Sciences
BIOTECNOLOGIA;BIOTECHNOLOGY;PGBBIOTECM;João Pessoa;Presencial;Mestrado;CBIOTEC;CENTRO DE BIOTECNOLOGIA;https://sigaa.ufpb.br/sigaa/public/programa/portal.jsf?lc=pt_BR&id=2888;Life Sciences
