"nome";"nivel";"total"
ADMINISTRAÇÃO;DOUTORADO ACADÊMICO;8
AGRONOMIA;DOUTORADO ACADÊMICO;11
ARQUITETURA E URBANISMO;DOUTORADO ACADÊMICO;1
BIOTECNOLOGIA;DOUTORADO ACADÊMICO;1
CIÊNCIA DA INFORMAÇÃO;DOUTORADO ACADÊMICO;8
CIÊNCIA DO SOLO;DOUTORADO ACADÊMICO;1
CIÊNCIA E ENGENHARIA DE MATERIAIS;DOUTORADO ACADÊMICO;6
CIÊNCIA E TECNOLOGIA DOS ALIMENTOS;DOUTORADO ACADÊMICO;10
CIÊNCIAS BIOLÓGICAS;DOUTORADO ACADÊMICO;8
CIÊNCIAS CONTÁBEIS;DOUTORADO ACADÊMICO;8
CIÊNCIAS DA NUTRIÇÃO;DOUTORADO ACADÊMICO;9
CIÊNCIAS DAS RELIGIÕES;DOUTORADO ACADÊMICO;9
CIÊNCIAS FISIOLÓGICAS;DOUTORADO ACADÊMICO;1
CIÊNCIAS JURÍDICAS;DOUTORADO ACADÊMICO;7
DESENVOLVIMENTO E INOVAÇÃO TECNOLOGICA EM MEDICAMENTOS;DOUTORADO ACADÊMICO;1
DESENVOLVIMENTO E MEIO AMBIENTE;DOUTORADO ACADÊMICO;7
ECONOMIA;DOUTORADO ACADÊMICO;3
EDUCAÇÃO;DOUTORADO ACADÊMICO;25
EDUCAÇÃO FÍSICA;DOUTORADO ACADÊMICO;3
ENFERMAGEM;DOUTORADO ACADÊMICO;16
ENGENHARIA CIVIL E AMBIENTAL;DOUTORADO ACADÊMICO;2
ENGENHARIA MECÂNICA;DOUTORADO ACADÊMICO;13
FILOSOFIA;DOUTORADO ACADÊMICO;2
FÍSICA;DOUTORADO ACADÊMICO;9
GEOGRAFIA;DOUTORADO ACADÊMICO;2
LETRAS;DOUTORADO ACADÊMICO;9
LINGUÍSTICA;DOUTORADO ACADÊMICO;13
MATEMÁTICA;DOUTORADO ACADÊMICO;4
MODELOS DE DECISÃO E SAÚDE;DOUTORADO ACADÊMICO;6
MÚSICA;DOUTORADO ACADÊMICO;2
PRODUTOS NATURAIS E SINTÉTICOS BIOATIVOS;DOUTORADO ACADÊMICO;16
