"nome";"nivel";"sexo";"total_estrangeiro"
ADMINISTRAÇÃO;DOUTORADO ACADÊMICO;M;1
CIÊNCIA DO SOLO;DOUTORADO ACADÊMICO;M;1
CIÊNCIA E ENGENHARIA DE MATERIAIS;DOUTORADO ACADÊMICO;M;1
CIÊNCIA E ENGENHARIA DE MATERIAIS;DOUTORADO ACADÊMICO;F;1
CIÊNCIAS BIOLÓGICAS;DOUTORADO ACADÊMICO;M;1
CIÊNCIAS BIOLÓGICAS;DOUTORADO ACADÊMICO;F;1
CIÊNCIAS JURÍDICAS;DOUTORADO ACADÊMICO;F;1
CIÊNCIAS JURÍDICAS;DOUTORADO ACADÊMICO;M;1
ENGENHARIA MECÂNICA;DOUTORADO ACADÊMICO;M;1
FÍSICA;DOUTORADO ACADÊMICO;M;1
LETRAS;DOUTORADO ACADÊMICO;M;1
LINGUÍSTICA;DOUTORADO ACADÊMICO;F;1
MATEMÁTICA;DOUTORADO ACADÊMICO;M;3
MÚSICA;DOUTORADO ACADÊMICO;M;4
PRODUTOS NATURAIS E SINTÉTICOS BIOATIVOS;DOUTORADO ACADÊMICO;M;1
SOCIOLOGIA;DOUTORADO ACADÊMICO;M;1
ADMINISTRAÇÃO;GRADUAÇÃO;M;1
ADMINISTRAÇÃO;GRADUAÇÃO;F;1
AGROECOLOGIA;GRADUAÇÃO;F;1
AGROECOLOGIA;GRADUAÇÃO;M;1
AGRONOMIA;GRADUAÇÃO;F;9
AGRONOMIA;GRADUAÇÃO;M;8
ARQUITETURA E URBANISMO;GRADUAÇÃO;M;1
ARQUITETURA E URBANISMO;GRADUAÇÃO;F;1
ARTES VISUAIS;GRADUAÇÃO;F;1
BIOTECNOLOGIA;GRADUAÇÃO;M;1
CIÊNCIAS BIOLÓGICAS;GRADUAÇÃO;F;1
CIÊNCIAS ECONÔMICAS;GRADUAÇÃO;F;1
CIÊNCIAS SOCIAIS;GRADUAÇÃO;F;1
COMUNICAÇÃO EM MÍDIAS DIGITAIS;GRADUAÇÃO;M;1
COMUNICAÇÃO EM MÍDIAS DIGITAIS;GRADUAÇÃO;F;1
DESIGN;GRADUAÇÃO;M;2
DIREITO;GRADUAÇÃO;F;1
DIREITO;GRADUAÇÃO;M;4
ENGENHARIA DA COMPUTAÇÃO;GRADUAÇÃO;M;1
ENGENHARIA DE ENERGIAS RENOVÁVEIS;GRADUAÇÃO;F;1
ENGENHARIA DE ENERGIAS RENOVÁVEIS;GRADUAÇÃO;M;1
ENGENHARIA DE PRODUÇÃO;GRADUAÇÃO;M;3
ENGENHARIA DE PRODUÇÃO MECÂNICA;GRADUAÇÃO;M;1
ENGENHARIA ELÉTRICA;GRADUAÇÃO;M;1
ENGENHARIA MECÂNICA;GRADUAÇÃO;M;2
