"ppg";"sexo";"total"
PROGRAMA ASSOCIADO DE PÓS-GRADUAÇÃO EM ARTES VISUAIS;F;5
PROGRAMA ASSOCIADO DE PÓS-GRADUAÇÃO EM ARTES VISUAIS;M;8
PROGRAMA ASSOCIADO DE PÓS-GRADUAÇÃO EM EDUCAÇÃO FÍSICA;F;2
PROGRAMA ASSOCIADO DE PÓS-GRADUAÇÃO EM EDUCAÇÃO FÍSICA;M;10
PROGRAMA ASSOCIADO DE PÓS-GRADUAÇÃO EM FONOAUDIOLOGIA;F;9
PROGRAMA ASSOCIADO DE PÓS-GRADUAÇÃO EM FONOAUDIOLOGIA;M;3
PROGRAMA ASSOCIADO DE PÓS-GRADUAÇÃO EM MATEMÁTICA;M;21
PROGRAMA DE DOUTORADO INTEGRADO EM ZOOTECNIA;F;4
PROGRAMA DE DOUTORADO INTEGRADO EM ZOOTECNIA;M;10
PROGRAMA DE MESTRADO PROFISSIONAL EM ARTES EM REDE NACIONAL;F;5
PROGRAMA DE MESTRADO PROFISSIONAL EM ARTES EM REDE NACIONAL;M;6
PROGRAMA DE MESTRADO PROFISSIONAL EM ENSINO DE HISTÓRIA;F;3
PROGRAMA DE MESTRADO PROFISSIONAL EM ENSINO DE HISTÓRIA;M;6
PROGRAMA DE MESTRADO PROFISSIONAL EM GERONTOLOGIA;F;20
PROGRAMA DE MESTRADO PROFISSIONAL EM GERONTOLOGIA;M;6
PROGRAMA DE PÓS-GRADUAÇÃO EM ADMINISTRAÇÃO;F;7
PROGRAMA DE PÓS-GRADUAÇÃO EM ADMINISTRAÇÃO;M;23
PROGRAMA DE PÓS-GRADUAÇÃO EM AGRONOMIA;F;8
PROGRAMA DE PÓS-GRADUAÇÃO EM AGRONOMIA;M;15
PROGRAMA DE PÓS-GRADUAÇÃO EM ANTROPOLOGIA;F;14
PROGRAMA DE PÓS-GRADUAÇÃO EM ANTROPOLOGIA;M;6
PROGRAMA DE PÓS-GRADUAÇÃO EM ARQUITETURA E URBANISMO;F;8
PROGRAMA DE PÓS-GRADUAÇÃO EM ARQUITETURA E URBANISMO;M;7
PROGRAMA DE PÓS-GRADUAÇÃO EM BIODIVERSIDADE;F;7
PROGRAMA DE PÓS-GRADUAÇÃO EM BIODIVERSIDADE;M;11
PROGRAMA DE PÓS-GRADUAÇÃO EM BIOLOGIA CELULAR E MOLECULAR;F;16
PROGRAMA DE PÓS-GRADUAÇÃO EM BIOLOGIA CELULAR E MOLECULAR;M;12
PROGRAMA DE PÓS-GRADUAÇÃO EM BIOTECNOLOGIA;F;7
PROGRAMA DE PÓS-GRADUAÇÃO EM BIOTECNOLOGIA;M;11
PROGRAMA DE PÓS-GRADUAÇÃO EM BIOTECNOLOGIA (RENORBIO);F;3
PROGRAMA DE PÓS-GRADUAÇÃO EM BIOTECNOLOGIA (RENORBIO);M;13
PROGRAMA DE PÓS-GRADUAÇÃO EM CIÊNCIA ANIMAL;F;10
PROGRAMA DE PÓS-GRADUAÇÃO EM CIÊNCIA ANIMAL;M;13
PROGRAMA DE PÓS-GRADUAÇÃO EM CIÊNCIA DA INFORMAÇÃO;F;13
PROGRAMA DE PÓS-GRADUAÇÃO EM CIÊNCIA DA INFORMAÇÃO;M;8
PROGRAMA DE PÓS-GRADUAÇÃO EM CIÊNCIA DO SOLO;F;3
PROGRAMA DE PÓS-GRADUAÇÃO EM CIÊNCIA DO SOLO;M;15
PROGRAMA DE PÓS-GRADUAÇÃO EM CIÊNCIA E ENGENHARIA DE MATERIAIS;F;9
PROGRAMA DE PÓS-GRADUAÇÃO EM CIÊNCIA E ENGENHARIA DE MATERIAIS;M;13
PROGRAMA DE PÓS-GRADUAÇÃO EM CIÊNCIA E TECNOLOGIA DE ALIMENTOS;F;13
PROGRAMA DE PÓS-GRADUAÇÃO EM CIÊNCIA E TECNOLOGIA DE ALIMENTOS;M;11
PROGRAMA DE PÓS-GRADUAÇÃO EM CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS;F;5
PROGRAMA DE PÓS-GRADUAÇÃO EM CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS;M;12
PROGRAMA DE PÓS-GRADUAÇÃO EM CIÊNCIAS AGRÁRIAS (AGROECOLOGIA);F;7
PROGRAMA DE PÓS-GRADUAÇÃO EM CIÊNCIAS AGRÁRIAS (AGROECOLOGIA);M;15
PROGRAMA DE PÓS-GRADUAÇÃO EM CIÊNCIAS BIOLÓGICAS;F;3
PROGRAMA DE PÓS-GRADUAÇÃO EM CIÊNCIAS BIOLÓGICAS;M;22
PROGRAMA DE PÓS-GRADUAÇÃO EM CIÊNCIAS CONTÁBEIS;F;4
PROGRAMA DE PÓS-GRADUAÇÃO EM CIÊNCIAS CONTÁBEIS;M;11
PROGRAMA DE PÓS-GRADUAÇÃO EM CIÊNCIAS DA NUTRIÇÃO;F;18
PROGRAMA DE PÓS-GRADUAÇÃO EM CIÊNCIAS DA NUTRIÇÃO;M;13
PROGRAMA DE PÓS-GRADUAÇÃO EM CIÊNCIAS DAS RELIGIÕES;F;11
PROGRAMA DE PÓS-GRADUAÇÃO EM CIÊNCIAS DAS RELIGIÕES;M;13
PROGRAMA DE PÓS-GRADUAÇÃO EM CIÊNCIAS JURÍDICAS;F;10
PROGRAMA DE PÓS-GRADUAÇÃO EM CIÊNCIAS JURÍDICAS;M;22
PROGRAMA DE PÓS-GRADUAÇÃO EM COMPUTAÇÃO, COMUNICAÇÃO E ARTES;F;4
PROGRAMA DE PÓS-GRADUAÇÃO EM COMPUTAÇÃO, COMUNICAÇÃO E ARTES;M;12
PROGRAMA DE PÓS-GRADUAÇÃO EM COMUNICAÇÃO;F;6
PROGRAMA DE PÓS-GRADUAÇÃO EM COMUNICAÇÃO;M;9
PROGRAMA DE PÓS-GRADUAÇÃO EM DESENVOLVIMENTO E INOVAÇÃO TECNOLÓGICA EM MEDICAMENTOS;F;7
PROGRAMA DE PÓS-GRADUAÇÃO EM DESENVOLVIMENTO E INOVAÇÃO TECNOLÓGICA EM MEDICAMENTOS;M;7
PROGRAMA DE PÓS-GRADUAÇÃO EM DESENVOLVIMENTO E MEIO AMBIENTE;F;19
PROGRAMA DE PÓS-GRADUAÇÃO EM DESENVOLVIMENTO E MEIO AMBIENTE;M;20
PROGRAMA DE PÓS-GRADUAÇÃO EM DESENVOLVIMENTO E MEIO AMBIENTE EM ASSOCIAÇÃO A REDE PRODEMA;F;3
PROGRAMA DE PÓS-GRADUAÇÃO EM DESENVOLVIMENTO E MEIO AMBIENTE EM ASSOCIAÇÃO A REDE PRODEMA;M;6
PROGRAMA DE PÓS-GRADUAÇÃO EM DIREITOS HUMANOS, CIDADANIA E POLITICAS PÚBLICAS;F;9
PROGRAMA DE PÓS-GRADUAÇÃO EM DIREITOS HUMANOS, CIDADANIA E POLITICAS PÚBLICAS;M;13
PROGRAMA DE PÓS-GRADUAÇÃO EM ECOLOGIA E MONITORAMENTO AMBIENTAL;F;6
PROGRAMA DE PÓS-GRADUAÇÃO EM ECOLOGIA E MONITORAMENTO AMBIENTAL;M;12
PROGRAMA DE PÓS-GRADUAÇÃO EM ECONOMIA;F;4
PROGRAMA DE PÓS-GRADUAÇÃO EM ECONOMIA;M;18
PROGRAMA DE PÓS-GRADUAÇÃO EM ECONOMIA DO SETOR PÚBLICO;F;4
PROGRAMA DE PÓS-GRADUAÇÃO EM ECONOMIA DO SETOR PÚBLICO;M;19
PROGRAMA DE PÓS-GRADUAÇÃO EM EDUCAÇÃO;F;27
