"dpto";"sexo";"total"
CBIOTEC - DEPARTAMENTO DE BIOLOGIA CELULAR E MOLECULAR;F;7
CBIOTEC - DEPARTAMENTO DE BIOLOGIA CELULAR E MOLECULAR;M;5
CBIOTEC - DEPARTAMENTO DE BIOTECNOLOGIA;F;6
CBIOTEC - DEPARTAMENTO DE BIOTECNOLOGIA;M;8
CCA - DEPARTAMENTO DE BIOCIÊNCIAS;F;6
CCA - DEPARTAMENTO DE BIOCIÊNCIAS;M;7
CCA - DEPARTAMENTO DE CIÊNCIAS FUNDAMENTAIS E SOCIAIS;F;16
CCA - DEPARTAMENTO DE CIÊNCIAS FUNDAMENTAIS E SOCIAIS;M;15
CCA - DEPARTAMENTO DE CIÊNCIAS VETERINÁRIAS;F;14
CCA - DEPARTAMENTO DE CIÊNCIAS VETERINÁRIAS;M;11
CCA - DEPARTAMENTO DE FITOTECNIA E CIÊNCIAS AMBIENTAIS;F;6
CCA - DEPARTAMENTO DE FITOTECNIA E CIÊNCIAS AMBIENTAIS;M;10
CCA - DEPARTAMENTO DE QUÍMICA E FÍSICA;F;7
CCA - DEPARTAMENTO DE QUÍMICA E FÍSICA;M;4
CCA - DEPARTAMENTO DE SOLOS E ENGENHARIA RURAL;F;2
CCA - DEPARTAMENTO DE SOLOS E ENGENHARIA RURAL;M;16
CCA - DEPARTAMENTO DE ZOOTECNIA;F;11
CCA - DEPARTAMENTO DE ZOOTECNIA;M;12
CCAE - COORDENAÇÃO DE ADMINISTRAÇÃO;F;1
CCAE - COORDENAÇÃO DE ANTROPOLOGIA E CULTURAS INDÍGENAS;F;1
CCAE - COORDENAÇÃO DE CIÊNCIAS CONTÁBEIS;M;1
CCAE - COORDENAÇÃO DE MATEMÁTICA (LICENCIATURA);F;1
CCAE - COORDENAÇÃO DE PEDAGOGIA;F;1
CCAE - COORDENAÇÃO DE SECRETARIADO EXECUTIVO BILÍNGUE;F;1
CCAE - COORDENAÇÃO DE SISTEMAS DE INFORMAÇÃO (BACHARELADO);M;1
CCAE - DEPARTAMENTO DE CIÊNCIAS EXATAS;F;21
CCAE - DEPARTAMENTO DE CIÊNCIAS EXATAS;M;25
CCAE - DEPARTAMENTO DE CIÊNCIAS SOCIAIS;F;9
CCAE - DEPARTAMENTO DE CIÊNCIAS SOCIAIS;M;10
CCAE - DEPARTAMENTO DE CIÊNCIAS SOCIAIS APLICADAS;F;21
CCAE - DEPARTAMENTO DE CIÊNCIAS SOCIAIS APLICADAS;M;11
CCAE - DEPARTAMENTO DE DESIGN;F;6
CCAE - DEPARTAMENTO DE DESIGN;M;7
CCAE - DEPARTAMENTO DE EDUCAÇÃO;F;8
CCAE - DEPARTAMENTO DE EDUCAÇÃO;M;6
CCAE - DEPARTAMENTO DE ENGENHARIA E MEIO AMBIENTE;F;7
CCAE - DEPARTAMENTO DE ENGENHARIA E MEIO AMBIENTE;M;9
CCAE - DEPARTAMENTO DE LETRAS;F;18
CCAE - DEPARTAMENTO DE LETRAS;M;5
CCAE - DIREÇÃO DE CENTRO;M;1
CCEN - DEPARTAMENTO DE BIOLOGIA MOLECULAR;F;12
CCEN - DEPARTAMENTO DE BIOLOGIA MOLECULAR;M;14
CCEN - DEPARTAMENTO DE ESTATÍSTICA;F;11
CCEN - DEPARTAMENTO DE ESTATÍSTICA;M;16
CCEN - DEPARTAMENTO DE FÍSICA;F;2
CCEN - DEPARTAMENTO DE FÍSICA;M;36
CCEN - DEPARTAMENTO DE GEOCIÊNCIAS;F;7
CCEN - DEPARTAMENTO DE GEOCIÊNCIAS;M;23
CCEN - DEPARTAMENTO DE MATEMÁTICA;F;11
CCEN - DEPARTAMENTO DE MATEMÁTICA;M;47
CCEN - DEPARTAMENTO DE QUÍMICA;F;20
CCEN - DEPARTAMENTO DE QUÍMICA;M;27
CCEN - DEPARTAMENTO DE SISTEMÁTICA E ECOLOGIA;F;10
CCEN - DEPARTAMENTO DE SISTEMÁTICA E ECOLOGIA;M;28
CCEN - DIREÇÃO DE CENTRO;M;1
CCHLA - DEPARTAMENTO DE CIÊNCIAS SOCIAIS;F;24
CCHLA - DEPARTAMENTO DE CIÊNCIAS SOCIAIS;M;22
CCHLA - DEPARTAMENTO DE FILOSOFIA;F;3
CCHLA - DEPARTAMENTO DE FILOSOFIA;M;17
CCHLA - DEPARTAMENTO DE HISTÓRIA;F;11
CCHLA - DEPARTAMENTO DE HISTÓRIA;M;18
CCHLA - DEPARTAMENTO DE LETRAS CLÁSSICAS E VERNÁCULAS;F;14
CCHLA - DEPARTAMENTO DE LETRAS CLÁSSICAS E VERNÁCULAS;M;14
CCHLA - DEPARTAMENTO DE LETRAS ESTRANGEIRAS E MODERNAS;F;34
CCHLA - DEPARTAMENTO DE LETRAS ESTRANGEIRAS E MODERNAS;M;13
CCHLA - DEPARTAMENTO DE LÍNGUA PORTUGUESA E LINGUÍSTICA;F;27
CCHLA - DEPARTAMENTO DE LÍNGUA PORTUGUESA E LINGUÍSTICA;M;15
CCHLA - DEPARTAMENTO DE LÍNGUAS DE SINAIS;F;9
CCHLA - DEPARTAMENTO DE LÍNGUAS DE SINAIS;M;3
CCHLA - DEPARTAMENTO DE MEDIAÇÕES INTERCULTURAIS;F;10
CCHLA - DEPARTAMENTO DE MEDIAÇÕES INTERCULTURAIS;M;4
CCHLA - DEPARTAMENTO DE MÍDIAS DIGITAIS;F;1
CCHLA - DEPARTAMENTO DE MÍDIAS DIGITAIS;M;13
CCHLA - DEPARTAMENTO DE PSICOLOGIA;F;33
CCHLA - DEPARTAMENTO DE PSICOLOGIA;M;17
CCHLA - DEPARTAMENTO DE SERVIÇO SOCIAL;F;29
CCHLA - DEPARTAMENTO DE SERVIÇO SOCIAL;M;5
CCHSA - COORDENAÇÃO DE PEDAGOGIA (LICENCIATURA);F;1
CCHSA - DEPARTAMENTO DE AGRICULTURA;F;9
CCHSA - DEPARTAMENTO DE AGRICULTURA;M;12
CCHSA - DEPARTAMENTO DE CIÊNCIA ANIMAL;F;4
CCHSA - DEPARTAMENTO DE CIÊNCIA ANIMAL;M;12
CCHSA - DEPARTAMENTO DE CIÊNCIAS BÁSICAS E SOCIAIS;F;8
CCHSA - DEPARTAMENTO DE CIÊNCIAS BÁSICAS E SOCIAIS;M;15
CCHSA - DEPARTAMENTO DE CIÊNCIAS SOCIAIS APLICADAS;F;12
CCHSA - DEPARTAMENTO DE CIÊNCIAS SOCIAIS APLICADAS;M;10
CCHSA - DEPARTAMENTO DE EDUCAÇÃO;F;14
CCHSA - DEPARTAMENTO DE EDUCAÇÃO;M;8
CCHSA - DEPARTAMENTO DE GESTÃO E TECNOLOGIA AGROINDUSTRIAL;F;16
CCHSA - DEPARTAMENTO DE GESTÃO E TECNOLOGIA AGROINDUSTRIAL;M;16
CCJ - COORDENAÇÃO DE DIREITO (SANTA RITA);M;1
CCJ - DEPARTAMENTO DE CIÊNCIAS JURÍDICAS;F;12
CCJ - DEPARTAMENTO DE CIÊNCIAS JURÍDICAS;M;21
CCJ - DEPARTAMENTO DE DIREITO PRIVADO;F;19
CCJ - DEPARTAMENTO DE DIREITO PRIVADO;M;19
CCJ - DEPARTAMENTO DE DIREITO PROCESSUAL E PRÁTICA JURÍDICA;F;2
CCJ - DEPARTAMENTO DE DIREITO PROCESSUAL E PRÁTICA JURÍDICA;M;15
CCJ - DEPARTAMENTO DE DIREITO PÚBLICO;F;9
