,grande_area,area,codigo
0,Ciências Exatas e da Terra,Ciências Exatas e da Terra,1.00.00.00-3
1,Ciências Exatas e da Terra,Matemática,1.01.00.00-8
2,Ciências Exatas e da Terra,Álgebra,1.01.01.00-4
3,Ciências Exatas e da Terra,Conjuntos,1.01.01.01-2
4,Ciências Exatas e da Terra,Lógica Matemática,1.01.01.02-0
5,Ciências Exatas e da Terra,Teoria dos Números,1.01.01.03-9
6,Ciências Exatas e da Terra,Grupos de Algebra Não-Comutaviva,1.01.01.04-7
7,Ciências Exatas e da Terra,Algebra Comutativa,1.01.01.05-5
8,Ciências Exatas e da Terra,Geometria Algebrica,1.01.01.06-3
9,Ciências Exatas e da Terra,Análise,1.01.02.00-0
10,Ciências Exatas e da Terra,Análise Complexa,1.01.02.01-9
11,Ciências Exatas e da Terra,Análise Funcional,1.01.02.02-7
12,Ciências Exatas e da Terra,Análise Funcional Não-Linear,1.01.02.03-5
13,Ciências Exatas e da Terra,Equações Diferênciais Ordinárias,1.01.02.04-3
14,Ciências Exatas e da Terra,Equações Diferênciais Parciais,1.01.02.05-1
15,Ciências Exatas e da Terra,Equações Diferênciais Funcionais,1.01.02.06-0
16,Ciências Exatas e da Terra,Geometria e Topologia,1.01.03.00-7
17,Ciências Exatas e da Terra,Geometria Diferêncial,1.01.03.01-5
18,Ciências Exatas e da Terra,Topologia Algébrica,1.01.03.02-3
19,Ciências Exatas e da Terra,Topologia das Variedades,1.01.03.03-1
20,Ciências Exatas e da Terra,Sistemas Dinâmicos,1.01.03.04-0
21,Ciências Exatas e da Terra,Teoria das Singularidades e Teoria das Catástrofes,1.01.03.05-8
22,Ciências Exatas e da Terra,Teoria das Folheações,1.01.03.06-6
23,Ciências Exatas e da Terra,Matemática Aplicada,1.01.04.00-3
24,Ciências Exatas e da Terra,Física Matemática,1.01.04.01-1
25,Ciências Exatas e da Terra,Análise Numérica,1.01.04.02-0
26,Ciências Exatas e da Terra,Matemática Discreta e Combinatoria,1.01.04.03-8
27,Ciências Exatas e da Terra,Probabilidade e Estatística,1.02.00.00-2
28,Ciências Exatas e da Terra,Probabilidade,1.02.01.00-9
29,Ciências Exatas e da Terra,Teoria Geral e Fundamentos da Probabilidade,1.02.01.01-7
30,Ciências Exatas e da Terra,Teoria Geral e Processos Estocásticos,1.02.01.02-5
31,Ciências Exatas e da Terra,Teoremas de Limite,1.02.01.03-3
