CODE,COURSE
1626645,EDUCAÇÃO FÍSICA - LICENCIATURA (LICENCIATURA)/CCS - João Pessoa(João Pessoa)
1626646,ODONTOLOGIA (BACHARELADO)/CCS - João Pessoa(João Pessoa)
1626647,QUÍMICA INDUSTRIAL (BACHARELADO)/CT - João Pessoa(João Pessoa)
1626648,AGROINDÚSTRIA (BACHARELADO)/CCHSA - Bananeiras(Bananeiras)
1626651,GEOGRAFIA (BACHARELADO)/CCEN - João Pessoa(João Pessoa)
1626656,COMUNICAÇÃO SOCIAL (BACHARELADO)/CCTA - João Pessoa(João Pessoa)
1626662,AGROECOLOGIA (BACHARELADO)/CCHSA - Bananeiras(Bananeiras)
1626663,ENFERMAGEM/CCS - João Pessoa(João Pessoa)
1626665,CIÊNCIAS ATUARIAIS (BACHARELADO)/CCSA - João Pessoa(João Pessoa)
1626666,Comportamento Inesperado!
1626667,Comportamento Inesperado!
1626668,Comportamento Inesperado!
1626669,CIÊNCIA DA COMPUTAÇÃO (BACHARELADO)/CI - João Pessoa(João Pessoa)
1626670,CIENCIAS (LICENCIATURA)/CCEN - João Pessoa(João Pessoa)
1626675,FÍSICA/CCEN - João Pessoa(João Pessoa)
1626681,MATEMÁTICA/CCEN - João Pessoa(João Pessoa)
1626692,ADMINISTRAÇÃO (BACHARELADO)/CCSA - João Pessoa(João Pessoa)
1626693,BIBLIOTECONOMIA (BACHARELADO)/CCSA - João Pessoa(João Pessoa)
1626694,CIÊNCIAS CONTÁBEIS (BACHARELADO)/CCSA - João Pessoa(João Pessoa)
1626696,CIÊNCIAS ECONÔMICAS (BACHARELADO)/CCSA - João Pessoa(João Pessoa)
1626698,PEDAGOGIA (LICENCIATURA)/CE - João Pessoa(João Pessoa)
1626703,GRADUAÇÃO DE PROF. DA PARTE DE FORMAÇÃO ESPEC DO CURRÍCULO DO ENSINO DO 2º GRAU (LICENCIATURA)/CE - João Pessoa(João Pessoa)
1626707,EDUCAÇÃO ARTÍSTICA (LICENCIATURA)/CCTA - João Pessoa(João Pessoa)
1626711,FILOSOFIA/CCHLA. - João Pessoa(João Pessoa)
1626724,PSICOLOGIA/CCHLA. - João Pessoa(João Pessoa)
1626727,DIREITO (BACHARELADO)/CCJ - João Pessoa(João Pessoa)
1626729,FARMÁCIA (BACHARELADO)/CCS - João Pessoa(João Pessoa)
1626732,MEDICINA/CCS - João Pessoa(João Pessoa)
1626733,NUTRIÇÃO (BACHARELADO)/CCS - João Pessoa(João Pessoa)
1626736,ARQUITETURA E URBANISMO (BACHARELADO)/CT - João Pessoa(João Pessoa)
