CODE,SECTOR
1001,S.R.H. DIV CADASTRO E LOTACAO
1002,REITORIA DA UFPB
1003,GABINETE DO REITOR - REITORIA
1004,ASSESSORIA ESP. REL. PUBLICAS - REITORIA
1005,ASS. ESP.ASS. INTERNACIONAIS - REITORIA
1006,REDE TELECOMUNICACOES DO MEC - REITORIA
1007,MICROFILMAGEM - REITORIA
1008,NUCLEO DE DOC.INFORM. HIST. - REITORIA
1009,COMISSAO PERM. DE PES.DOCENTE - REITORIA
1010,COMISSAO PERM.ACUM.CARGOS/EMP - REITORIA
1011,COMISSAO PERM.PROC.ADM.DISC. - REITORIA
1012,GABINETE DO VICE REITOR
1013,PROCURADORIA JURIDICA
1014,FORUM UNIVERSITARIO
1015,S. R. H.
1016,S.R.H. COORD. LEGISLACAO E NORMAS
1017,S.R.H.DIV. SELECAO E APERFEICOAMENTO
1018,PRO-REITORIA DE PLANEJAMENTO
1019,NUCLEO DE PROC.DE DADOS J.P. - PROPLAN
1020,NUCLEO DE PESQUISA INSTITUCIONAL_PROPLAN
1021,DIVISAO DE ASSIST.AO ESTUDANTE_PROPLAN
1022,PRO-REITORIA ADMINISTRATIVA
1023,CONTABILIDADE E FINANCAS_PRA
1024,DEPARTAMENTO DE ADMINISTRACAO_PRA
1025,PRO-REITORIA POS GRADUACAO E PESQUISA
1026,PRO-REITORIA GRADUACAO
1027,COM. PERMANENTE REG. TRABALHO_PRG
1028,COORD. ESCOLARIDADE_PRG
1029,COMISSAO EXECUTIVA VESTIBULAR__PRG
1030,PRO-REITORIA COMUNITARIA
1031,COORDENACAO E EXTENSAO_PRAC
1032,DIV. ATIVIDADES ESPORTIVAS - PRAC
1033,NUCLEO ARTESANAL R. FEMININO_PRAC
1034,PROGRAMA BOLSA DE TRABALHO_PRAC
1035,ASSISTENCIA AO ESTUDANTE__PRAC
1036,PROGRAMAS ESPECIAIS - PRAC
1037,CENTRO R.UNIV.TREIN.A.COMUNITARIA_PRAC
1038,NUCLEO DE ARTE CONTEMPORANEA-PRAC
1039,NUCLEO DE DOC.CINEMATOGRAFICA_PRC
1040,PREFEITURA UNIVERSITARIA
1041,PREFEITURA SETORIAL JOAO PESSOA_PU
1042,PREFEITURA SETORIAL CAMPINA GRANDE_PU
1043,DIRETORIO CENTRAL DO ESTUDANTE__ONV
1044,SIND. TRAB. DE ENS. SUP. DA PB_JP ONV
1045,ASSOCIACAO DOS SERVIDORES DA UFPB_ONV
1046,ASSOCIACAO DOS DOCENTES DA UFPB-JP_ONV
1047,FUNDACAO NACIONAL DE MATERIAL__ONV
1048,COOPERATIVA DISTRIB. MAT.ESCOLAR _ONV
1049,ASSOCIACAO DOS DOC.UFPB C. GRANDE _ ONV
1050,SIND.TRAB. DE ENSINO SUP.DA PB_CG_ONV
1051,COOPERATIVA DE CONSUMO UFPB _ ONV
1052,PRAI-GAB DO PRO-REITOR
1053,DIRECAO CENTRO COORD. DE CURSOS - CCSA
1054,DEPARTAMENTO DE ECONOMIA _ CCSA
1055,DEPARTAMENTO DE ADMINISTRACAO _ CCSA
1056,DEPARTAMENTO BIBL. E DOCUMENTACAO _ CCSA
1057,DEPARTAMENTO DE DIREITO PRIVADO _ CCSA
1058,DEPARTAMENTO DE DIREITO PUBLICO _ CCSA
1059,DEPARTAMENTO DE FIN. E CONTAB. _ CCSA
1060,DIRECAO PROCES. PRATICA FORENSE _ CCSA
1061,NUCLEO DE ORIENTACAO EDUCACIONAL _ CCSA
1062,CENTRO DE CIENCIAS EXATAS E DA NATUREZA
1063,DIRECAO CENTRO DE COOR. DE CURSOS _ CCEN
1064,DEPARTAMENTO DE FISICA _ CCEN
1065,DEPARTAMENTO DE MATEMATICA__CCEN
1066,DEPARTAMENTO DE QUIMICA__CCEN
1067,DEPARTAMENTO DE BIOLOGIA MOLECULAR_CCEN
1068,DEPARTAMENTO DE BIO-FISICA__CCEN
1069,DEPARTAMENTO DE ESTATISTICA___CCEN
1070,DEPARTAMENTO DE SIST. E ECOLOGIA_CCEN
1071,DEPARTAMENTO DE INFORMATICA_ CCEN
1072,NUCLEO DE PESQUISAS RECURSOS DO MAR_CCEN
1073,CENTRO CIENCIAS HUM.LETRAS E ARTES
1074,DIRECAO CENTRO DE C.DE CURSOS _ CCHLA
1075,DEPARTAMENTO DE CIENCIAS SOCIAIS__CCHLA
1076,DEPARTAMENTO DE FILOSOFIA__CCHLA
1077,DEPARTAMENTO L. C.VERNACULAS _ CCHLA
1078,DEPARTAMENTO LETRAS EST. MODER. _ CCHLA
1079,DEPARTAMENTO DE ARTES__CCHLA
1080,DEPARTAMENTO DE SERVICO SOCIAL__CCHLA
1081,DEPARTAMENTO DE HISTORIA__CCHLA
1082,DEPARTAMENTO DE MUSICA_ CCHLA
1083,DEPARTAMENTO DE COMUNICACAO__CCHLA
1085,DIRECAO CENTRO DE COORD.CURSOS _CCS
1086,DEPARTAMENTO DE CIRURGIA__CCS
1087,DEPARTAMENTO CLINICO ODONTOL. SOCIAL_CCS
1088,DEPARTAMENTO ODONTOL. RESTAURADOURA_CCS
1089,ENFERM. MEDIC. CIR.ADMINISTRATIVA _ CCS
1090,DEPARTAMENTO MEDICINA INTERNA__CCS
1091,DEPARTAMENTO MATERNO INFANTIL__CCS
1092,DEPARTAMENTO DE PROMOCAO E SAUDE__CCS
1093,DEPARTAMENTO DE CIENC.FARMACEUTICAS_CCS
1094,DEPARTAMENTO FISIOLOGIA E PATOLOGIA_CCS
1095,DEPARTAMENTO DE MORFOLOGIA__CCS
1096,DEPARTAMENTO CULT. F. E REABILITACAO_CCS
1097,DEPARTAMENTO DE NUTRICAO-CCS
1098,ENFERMARIA SAUDE P. PSIQUIATRICA_CCS
1099,DIRECAO CENTRO COORDENACAO DE CURSOS_CT
1100,DEPARTAMENTO TECNOLOGICO CONS.CIVIL_CT
1101,DEPARTAMENTO DE TECNOLOGIA MECANICA_CT
1102,DEPARTAMENTO TECNICO QUIM.ALIMENTOS_CT
1103,DEPARTAMENTO DE ARQUITETURA_CT
1104,DEPARTAMENTO DE ENG. DE PRODUCAO - CT
